Nama Akun,Komentar,Sumber
@NS-dq4xz,"presiden terburuk, rakyat makin susah pejabat2 flexing terus, kroni2 dan mafia2 nya makin kaya, koruptor berkeliaran bebas. mana bukti nya mau tegas berantas korupsi? mana katanya mau bela rakyat miskin? harimau atau meong?",Narasi Newsroom
@alifamahardika2336,kok di tempat sy lebaran harga berubah semua ya pak,Narasi Newsroom
@MrHarminto,yapping kah?,Narasi Newsroom
@nineartfilm3206,"Bapak presiden yg terhormat, bagaimanapun anda adalah pemimpin kami. Saya pribadi mendukung anda. Seminimal2 bentuk dukungan yg bisa saya lakukan adalah dengan cara mengkritik bapak dalam forum ini. Menurut saya anda terlalu optimistic, yg anda katakan hanyalah kita harus..., kita akan..., kita pasti... bla..bla..bla... Argumentasi anda sulit untuk divalidasi karena bersumber pada opini tanpa ditunjang data dan fakta yg memadai. Anda juga tidak berusaha aware dengan inti problem yg terjadi. Akhirnya anda gagal memitigasi kendala yg akan dihadapi,  jangan berbicara mengejar koruptor sampai ke Antartika pak, kalo anda masih berpikir RUU perampasan aset bukan sesuatu yg harus diprioritaskan. Di forum ini Banyak sekali pertanyaan yg jawabannya normatif. Tidak solutif. Emang Susah kalo bicara sama boomer... Tp sehat terus lah...",Narasi Newsroom
@triyanihzamahendra3520,Jangan lupakan celetukan uni lubis 'supersemar' di 1:48:02 wokwokwok,Narasi Newsroom
@framescan91,bisa ngak sinya ruu perampasan harga koruptor sama cepat dengan ruu tni ,Narasi Newsroom
@rhanoe_2794,"Para jurnalis ini spertinya yg bisa ditundukan,,lain hal dengan tempo yg lurus & independen dlam mnyuarakn kbenaran. Tanpa bisa di intervensi",Narasi Newsroom
@m.a.s.project,apakah IQ saya yang terlalu rendah sampai tidak mengerti apa yang di omongin pak pres,Narasi Newsroom
@AiniAini-di5lm,"pak prabowo bukan menjawab tapi bercerita.
kalau tidak ada yang membantu kecuali diri kita terus ngapain bpk getol membantu Palestin bersama2 artis sedangkan rakyat kita sendiri masih banyak yang perlu dibantu.omongan sama tindakan ngk sama ni gimne ceritanye pak...
gue aja gak nyambung bapak ngomongnya apa ngalur ngidul 😊😅",Narasi Newsroom
@arzulak1445,2029. Bukan dr prabowo dan antek anteknya .. nyesel gua golput,Narasi Newsroom
@ryoblu3sky5,"Sebelum jadi presiden saya menilai Prabowo memiliki pemikiran cukup baik salah satunya dalam paradoks Indonesia yg cukup radikal. Setelah jadi presiden banyak kebijakan & langkah politiknya terasa tidak sesuai harapan, so saya mencoba menyimpulkan dengan 2 hipotesis:

1. Prabowo tidak mampu mengimplementasikan pemikirannya dalam bentuk kebijakan nyata.
2. Prabowo menerima data & informasi yang tidak akurat sehingga kebijakan yg diambil tidak tepat.

Note: mungkin ada saudara2 disini yg bisa memberikan masukan, kritik & opini atas hipotesis diatas?

Thanks",Narasi Newsroom
@totohabdulfatah7748,supersemar 1:48:36,Narasi Newsroom
@IsiKantong2015,"Oalah gitu toh,, mau ngesahin UU Perampasan Aset Koruptor harus dipertimbangkan lagi😂.
Pertimbangannya sampai kapan ya? Apa harus nunggu lagi biar bisa jadi bahan kampanye round 2😂? Kasihan nanti anak istrinya gimna?Mulia benar ya. Soalnya dia korup buat ngasih makan orang lain, bukan anak istrinya dong. Kalo anak istri mah pasti dikasih yang halal dong masa dari hasil korupsi sih.
Lah sama aja, katanya koruptor mau dikejar sampai ujung antariksa, lah UU yang depan mata aja nunggu pertimbangan dulu,, Halah omon2 maning,,, C'me on",Narasi Newsroom
@aryapratama3512,"masalahnyaa gaji dewan rakyat kita terbesar ke4 di dunia ,fasilitas yang terlalu mewah ataupun tunjangan yang selangit ,tidak sebanding dengan kinerja mereka ,gaada dampak yang signifikan .mau sampe kapan pejabat indonesia di manja sampe akhir hayat nyaa? sedangkan dari waktu ke waktu inflasi semakin terasa ke masyarakat menengah kebawah , tindakan dewan rakyat kita apa? rapat,rapat dan rapat tanpa hasil ,terlalu mencla mencle untuk menge SAH kan uud perampasan aset untuk KORUPTOR!",Narasi Newsroom
@deadwerks,🤦🏾🤦🏻,Narasi Newsroom
@amyamy8719,"Maaf p prabowo polisi Indonesia terlalu byk Pak ,tapi tdk bermutu contohlah polisi luar negri tdk betul buaaanya tapi bermutu keluatan krjnya. ,Ada laporan sangat berbelit lempar Sana dini ,HK tdk laporan berbahaya apapun itu lsng tangkap CPT 10 menit ,15 menit lsng dtng Di tangani Singapore salut Pak saya warga indonesia tgl Di HK 28 th.saya cuma tki Pak ,mencari sesuap nasi hdp kayak Yang merada Di negri sendiri Di abaikan",Narasi Newsroom
@pensil2298,"Kami bukan membenci Bpk Prabowo dan Mas Gibran tapi, sekarang Indonesia benar"" sedang butuh pemimpin yg mampu..😔😔😔",Narasi Newsroom
@alfiarahmadani,"The point is that the president didnt answer the questions well. Too many answers were not connected to the questions. As a president who is surrounded by people who only seek ""profit"" for himself and the party, the president of this country seems to not master the issues and problems that occur. Especially with ministers and staff who are entrusted with poor quality",Narasi Newsroom
@ahmadzali1572,SAYA SANGAT AMAT KECEWA DENGAN KEADAAN NEGARA SEKARANG INI😢😢😢😢😢... ADAKAH ORANG YANG BENER2 TULUS DAN JUJUR MENCINTAI NEGERI INI TANPA ADANYA BALAS BUDI,Narasi Newsroom
@riski11b,"He wants to be like President Soekarno, having dialog or speech without a text or data.. differences is all his answer was null, just talking nonsense.. I'm sorry to say that, u'll never be like him with that ego, big bad coalition and worst predecessor with his big achievement from OCCRP.. no and never",Narasi Newsroom
@mukminkunglau2473,"Bapak prabowo kerja nya nyata.,begitu bnyak nya PR pak presiden ketika baru menjabat. Biar kita fahami ini bersma, ,msalah akan selesai ketika beliau lewati itu satu persatu untuk mengatasinya. Hanya bnyak org yg terlalu cepat untuk menginginkan hasil.. kita percayakan semua nya kpda pak presiden",Narasi Newsroom
@tutiknurayni4249,"Sebelum mendengarkan, cek komentar2 sebanyak mungkin, kebanyakan negatif, auto skip..",Narasi Newsroom
@mischief404,Bro speaks a whole lot of nothing,Narasi Newsroom
@ArikaLulyana,"Galak nya pas Kampanye doang , udah jadi mah tetap aja sama dengan yang lain , maka dari itu gua tidak pernah menyesal dengan pilihan gua yaitu GOLPUT saat pemilihan , karena kualitas semua pemimpin di Indonesia tetap sama , galak di kampanye , udah jadi ya macam tempe ,  Koruptor tidak setuju di hukum mati dengan alasan kasihan dengan keluarga nya , kasihan dengan anak dan istri koruptor .... Koruptor saja tidak memikirkan Jutaan Rakyat Indonesia dan mereka lebih memilih memperkaya diri sndiri , saat Korupsi masih di kasih enak juga ... memang sudah bobrok hukum di Indonesia , udah gak bisa banyak berkata dengan Para pejabat di Indonesia .",Narasi Newsroom
@-store2204,"Presiden yg ke 8 ini sedikit lebih baik dari sebelumnya, tp blm bisa jadi pemimpin yg GOOD untuk di ERA saat ini. Jelas Indonesia GELAP",Narasi Newsroom
@handoputraperdanaputra2685,HAHAHAHAHAHAHAHAHAHAHAHA,Narasi Newsroom
@ArkaSukmaAji,What an amazing interview!!! It really helped me to fall asleep instantly once he started blabbering all over the place 😂,Narasi Newsroom
@afikumaladevy,"🤔🤔🤔🙄🙄🙄😤😤😤😩😩😩😵😵😵😵😵😵😵 saya paham pertanyaan yang diajukan,tapi nggak paham sama jawabanya🤐🤐🤐🤐🤐🤐",Narasi Newsroom
@rumput_hijau21,"Coba nanti kasih ceramah pa 8 jam nonstop duduk tegak non stop wkwk, mereka kuat gak yah kira kira wkwk😂 demikian, terima kasih Presiden ku tersayang 😘",Narasi Newsroom
@ikasukmawati2736,"MasyaAllah.. Terimakasih pak presiden prabowo sdh mengundang para jurnalis, Dari sini sebagai masyarakat yang awam, sangat haus atas kejelasan, dari berita² yang belok²,, Pak terimakasih sekali lagi,, Sehat selalu pak.. Allah melindungi mu pak🙏😇, tidak perlu menjelaskan kebaikkmu pak. Karna orang yg tidak menyukai mu tidak mau melihat apa yg bapk sdh lakukan..",Narasi Newsroom
@rumput_hijau21,Luar biasa ini Presiden 4 jam menjawab pertanyaan dan duduk non stop😄,Narasi Newsroom
@ahmadrijalhadiki2188,Astaghfirullah,Narasi Newsroom
@muhamadhusein5472,"Ok siapin mental pak, buat nyusul kayak mertua & presiden korsel",Narasi Newsroom
@StarFunish-c7v,KOSONG,Narasi Newsroom
@tasbiha3829,Jangan jangan presiden 2025 baru tau singkatan petani penyangga tatanan negara indonesia (soekarno),Narasi Newsroom
@sirojuddin184,"3 jam 26 menit 
2 jam isinya prabowo mikir dan eeee ......",Narasi Newsroom
@Nuropet_1.0,mayoritas masyarakat kecewa dengan kebijakan bapak terimakasih,Narasi Newsroom
@LARISSTR,"Terlepas apapun jawabannya, setidaknya presiden kita sudah berani untuk diskusi terbuka seperti ini. Rakyat sedikit jadi tau, kemana arah negri ini.",Narasi Newsroom
@darulpikri9457,prabowo bilo,Narasi Newsroom
@E.M.J.E,Aku menghabiskan 3 jam hanya untuk mendengarkan orang tua mengoceh semua hal tapi tidak ada apa apa😂,Narasi Newsroom
@ekoharinugroho4218,"Yang jadi pertanyaan, kenapa pertanian di Indonesia belum makmur seutuhnya dan bagaimana solusinya? 
Bukan Bapak bercerita tentang pertanian di Indonesia. Faktanya di Lapangan jauh berbeda dari harapan.",Narasi Newsroom
@alfianrizkysetiangga6969,"Dia maunya cuman cerita yang baik - baik aja, dan itu tidak terbukti di lapangannya 😅",Narasi Newsroom
@zahlul.hammam,"Jawab yang penting ❌
Yang penting jawab ✅",Narasi Newsroom
@rizkyfajar2393,Ini serius presiden???,Narasi Newsroom
@praditayudha430,pantes 11/100,Narasi Newsroom
@Nasir1245Ok,Saya sangat setuju sebagai rakyat kecil saya sangat bangga dengan bapakk presiden prabowo ituu adalah dasar sebuah keberhasilan. Dlm sebuah negara. Semoga nkri tambah jaya y allohhh,Narasi Newsroom
@sitifazriah1792,"Pak KEKAYAAN KITA INDONESIA KUAT... ATAU BAGAIMANA????? 
KOK DI RAMPOK SAMA MALING YANG BERDASI BERNAMA KORUPSI???",Narasi Newsroom
@rumput_hijau21,💚🇮🇩,Narasi Newsroom
@Ardaandmom,Hanya manusia cerdas yang paham maksud presiden ....efisien khusus untuk yang tidak penting beliau kasih gambar contoh nya..yang tidak perlu dan bisa jadi ladang korupsi.di hilangkan dan di alokasi kan untuk rakyat..utamakan utk anak penerus bangsa  dan keturunan adalah penompang keluarga ..keluarga maju negara maju ..jadi foya foya gak jelas dihilangkan ..Ruu itu yang sahkan bukan presiden tapi DpR pusat..seorang presiden kalo jawab 100 persen resiko lah karena bukan bagian tugas dan pekerjaannya sahkan RUU..dari pada salah ngomong kalo saya mending cerita masa lalu saja dari pada disangka makan kerjaan orang ...,Narasi Newsroom
@rizkisapari3113,Duh 3 jam nonton ... ternyata kosong ... level presiden loh ini,Narasi Newsroom
@Ardaandmom,Hanya manusia cerdas yang paham maksud presiden ....efisien khusus untuk yang tidak penting beliau kasih gambar contoh nya..yang tidak perlu dan bisa jadi ladang korupsi.di hilangkan dan di alokasi kan untuk rakyat..trutama utk anak penerus bangsa  dan keturunan adalah penompang keluarga ..keluarga maju negara maju ..jadi foya foya gak jelas dihilangkan ..Ruu itu yang sahkan bukan presiden tapi DpR pusat..seorang presiden kalo jawab 100 persen resiko lah karena bukan bagian tugas dan pekerjaannya sahkan RUU..dari pada salah ngomong kalo saya mending cerita masa lalu saja dari pada disangka makan kerjaan orang ...,Narasi Newsroom
@Rama99ful,Presiden omon omon doang.. makin mundur negri ini klo pmimpin kayak gni,Narasi Newsroom
@umarcliguer9206,Jika bgini pemimpin kita rakyat wajib kuatir dngan masa depan kita masing2,Narasi Newsroom
@sitifazriah1792,"Ayo pak Jendral kembali kepada rakyat, kita sama-sama berjuang pak Jenderal... ❤️
Kalau kebingungan banyakin istighfar dan munajat sama Allah di sepertiga malam yaaaa pak jendral agar bapak kokoh dengan tujuan baik tanpa ada ketakutan dan kebingungan... 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩",Narasi Newsroom
@jurayoo4809,udah tua bukannya mati malah joget,Narasi Newsroom
@yudhitriperwira748,Gausah diskusi ini. Pake Email aja ini mah,Narasi Newsroom
