Nama Akun,Komentar,Sumber
@MangAsep-e3h8j,Teu nyambung yang di i jawabnya prabowo...kurang wibawa..,Najwa Shihab
@off_45,tidak ada yang memuaskan atas jawaban dari seorang nomor 1 di negara ini kebanyakan dongeng,Najwa Shihab
@anangjahat,Pak prabowo baik. Yang bahaya itu masih banyak orang gak baik 😂,Najwa Shihab
@widayatsuto5823,Berantas preman-preman jalanan berantas knalpot-knalpot brong berantas pungli pungli di jalanan,Najwa Shihab
@Bisaharus,"kereeeeeeeen... PARA HOSTNYA... 
SOAL si DIA, yaaaaaaaaaaaa oke gas aja lah.. NDASMU",Najwa Shihab
@Seanyaan,"Sekarang bayangkan ada skenario dimana 3 paslon pilpres kemarin di wawancara seperti ini, apakah hasilnya tetep sama atau berbeda? Coba urutkan peringkat 1 yang paling bijak menjawab hingga peringkat 3 yang paling defensif! 

Silahkan anda tentukan sendiri berdasarkan jejak digital diskusi mereka di debat atau program kampanye nya 😊😊",Najwa Shihab
@muhammadnazid1819,"Ngomong yang penting❌
Yang penting ngomong ✅",Najwa Shihab
@friski077,"Kesannya Prabowo ga disukai elit global, sejak berapa bulan lalu dibikin kesan otoriter ampe bursa merah sendiri yg lain ijo padahal trump belum main tarif.. makasi trump sejak lu tarifin negara lain juga merah nyaingin negara gw wkwkwk.. dan program MBG pasti butuh cash besar, kalau pengawasan lemah mubazir pak.. mending jalan di daerah aja parsial, kan fokus ke sarjana baru buat lapangan kerja",Najwa Shihab
@PakDe-q4g,"Pak Prabowo bagaimana dengan Status Ijazah Gibran 
Kayaknya kok ABAL-ABAL seperti Jokowi.",Najwa Shihab
@zamzami3610,Kurang ngigit sih diskusinya.,Najwa Shihab
@MangAsep-e3h8j,"Yang dia rasakan tetap jokowi,, bukan rakyat yang hidupnya..",Najwa Shihab
@pramudyagunawan561,Tolong.. gak kuat denger-denger jawabannya ༎ຶ⁠‿⁠༎ຶ,Najwa Shihab
@CerdasPolitik45,"THE REAL ""OMON-OMON""",Najwa Shihab
@WawanG-n4b,Gas mba nana,Najwa Shihab
@PakDe-q4g,"Kami sebagai warga masyarakat kok tidak sependapat kalau Pak Prabowo dan Gibran sebagai Capres dan Wapres terpilih .
Kurang setuju pak Prabowo.
Yang jelas dalam sengketa Sidang pilpres SANDIWARA yang sangat mencolok.",Najwa Shihab
@son_766hi7,"Anak sekolah dapat aset makan bergiji 

Klo anak yatim aset'nya  apa pak ?",Najwa Shihab
@fitnasworld,maaf mba nana saya gak sanggup dengarnya sampai habis,Najwa Shihab
@dzulfikarzain9805,"Kerusuhan demo timbul karena suara rakyat yang dibungkam, dan tidak anda dengar sama sekali. Apakah ini hal wajar? Sangat wajar ketika amarah rakyat membludak ditambah dengan banyaknya tindak kekerasan aparat mau hijau mau coklat. Simpelnya gitu pak, kalo ribet ribet nanti ga ngerti kan.",Najwa Shihab
@honyymen4037,baru kali ini gw nnton dialog 5 menit dh ngntuk bnget,Najwa Shihab
@mengkaseven4041,"Mnurut gw yg salah dr priode jokowi smpe prabowo itu rkyat indo. Sginikah kapasitas otak pemimpin yg kalian pilih, ya ampun kpn indo maju klo pemimpin kyk jokowi prabowo masih brkuasa. Parah sih, pemimpin mncerminkan rkyat yg milih nya",Najwa Shihab
@zumrotussangadah8200,jawabnya muter-muter tapi ngga on point. Oke juga pa !!!,Najwa Shihab
@Behau,Tiga setengah jam full dijeda urusan pribadi dan keluarga akhirnya selesai,Najwa Shihab
@AlejandraAdlina-p2n,dia paham arti koalisi ga sih? wkwkwk,Najwa Shihab
@AbisjUNYISK,"Nana lebih siap mempersiapkan apa yang ditanyakan ke presiden dengan hal kekinian , barakallah mba nana dan tim narasi",Najwa Shihab
@ARS_RUY,YANG KOMEN KEBANYAKAN BUZZER 😀😀😀,Najwa Shihab
@saprijalrijal2798,"tah apa yg di tanyakan,   
tah apa yg di jawab. 
kepanjangan gk tentu",Najwa Shihab
@fadil6826,Kosong,Najwa Shihab
@II--II--Il,"Bener ternyata 11/100, the real omon-omon wkwkwk",Najwa Shihab
@risanoer1000,"ya kan, bener ga",Najwa Shihab
@PakDe-q4g,"Pak Prabowo. 
Pak Prabowo menurut pendapat kami bukan Presiden terpilih, akan tetapi Presiden yang hanya di menangkan  karena sudah di stel menurut MK sudah terdtriktur Sistematis dan Masiv.

Jadi bukan Presiden terpilih Paaaaak..? 
Makannya Wapres Pak Prabowo seperti Plonga Plongo seperti Kaleng Biskuit",Najwa Shihab
@L0A0H,mbak Nana tll dah😅😅,Najwa Shihab
@Luthfi-h2n,"dia lihat ratio hutang dan income serta dibandingkan dengan singapore, saudi, malaysia. HIHIHIHIHIHI awas pak cek lagi, cek dulu durasinya. HIHIHIHIHIHIHIHIHIHIHIHIHIHI",Najwa Shihab
@mlbb_romance,Udah Yapping nya??,Najwa Shihab
@yuditopoindrastomo3591,"Yang nanya serius, yang nonton serius, eee uang jawab ga nyambung malah curhat 🥱🥱🥱",Najwa Shihab
@youknowwho2818,Apasih dikit dikit bandingin sama negara lain,Najwa Shihab
@indraarifkurniawan7403,Marah amaen ka madure pak mun terro taowah ketahanan pangan,Najwa Shihab
@herisetyono3639,Ngomong doang gak mengena kepentingan rakyat.,Najwa Shihab
@cakmarno7,"Kembalikan 3 jam saya 
Merasa terbuang percuma 
Muter""
Mending nonton film 😭",Najwa Shihab
@yuth_dhamana7146,Tempo ko ga diundang ???,Najwa Shihab
@ulilulil-v8y,Tempo ngak hadir ya😅,Najwa Shihab
@ardilesBG,Setelah ini angkat pemimpin dari kalangan ulama sajalah..,Najwa Shihab
@masyaallah4651,Salut mba nana dan jurnalis lainnya kuat dengerin cerita pengantar tidur😭,Najwa Shihab
@ekonurdiansyah2230,istimewa,Najwa Shihab
@wiguna191,Indonesia sedang tidak baik baik saja 😵‍💫,Najwa Shihab
@Sholichin-g8y,Rakyat hanya ingin presiden tau apa yg mnjadi keluhan dan polemik di tengah tengah masyarkat  atau rakyat tdk hanya  mmbicarakn soal pekerjaan sj dgn dahlil dahlil utk rakyat tpi responlah apa yg mnjadi kegaduhan di tengh2 masyrakat atau rakyat segera bertindak utk bisa mmberikan solusi yg bisa mndamaikan keadaan  trmasuk antara rakyat dan DPR antara DPR  dan  para intelektual2  dan hukum .,Najwa Shihab
@yudhisoewardi7790,Cuma lg² sebut Mulyono sprti dibyg²in,Najwa Shihab
@renolsaputrasaputra2870,"betul pak presiden,,
panas matahari ba tanam cabe, harus di pupuk, jagain ,perawatan. pas naik sedikit harga cabe pemerintah lagi yang disalahkan,, sekali2 petani cebe harus menikmati keuntungan., janagn manja lahh,, 😄",Najwa Shihab
@TholibmuibsSecond,Mabuk,Najwa Shihab
@ardilesBG,Negeri ini semakin gak jelas arah 😢,Najwa Shihab
@norhasnahasna3932,Saya Kasih nilai bapak 2 aja dulu.karena blm merasakan apa pun.😢,Najwa Shihab
@yanztehnik2576,"Coba kalian spil pertanyaan yang mana yang tidak nyambung ,atau malah kita ajah yang tidak mengerti",Najwa Shihab
@firnzah3205,3 jam bersama orang bingung,Najwa Shihab
@ArifPurnomoAji,"Saya sebetulnya nggak paham politik.  Sebelum pemilu kemarin menyempatkan waktu untuk nonton acara debat capres dan cawapres biar nggak bingung saat pemilu harus pilih siapa.  Sebenarnya, dilihat dari hasil debat tersebut saja kita sudah bisa menilai mana capres dan cawapres yang punya kapasitas dari cara mereka menjawab sebuah pertanyaan atau persoalan yang diberikan.  Mohon maaf, menurut saya pasangan nomor urut 2 ini memang paling rendah kapasitasnya kalau dibanding dengan dua paslon lainnya.  Ditanya apa, jawabnya apa.  Mau heran, tapi ya gimana lagi sepertinya memang dari mayoritas masyarakat Indonesia memang belum bisa membedakan dan membandingkan antar paslon satu dan lainnya.  Sebagai kaum minoritas yang tidak memilih paslon 02, saya hanya bisa berdoa agar keadaan Indonesia tetap berjalan baik dibawah kepemimpinan beliau yang terpilih.",Najwa Shihab
@dohannn5607,"banyak yang ga peduli debat, apalagi nonton",Najwa Shihab
@MarvelLuffy,"PEMIMPIN ADALAH CERMINAN DARI BENTUK RAKYATNYA
58% PEMILIH YA BEGITU CERMINANNYA GA HERAN...",Najwa Shihab
@sultanaviyand661,​@@dohannn5607 Kebanyakan pada peduli nangis-nangis dengan lagu dawai di Tiktok😂😂😂😂,Najwa Shihab
@diawannoto,"jadi yang dicari itu yang jago omon omon gitu ya bang? ketika track record dia pegang jabatan ga jelas, tapi  karena omon omon jago dan pandai maen politik identitas dipilih?",Najwa Shihab
@dhenisrock,Kita butuh hasil kerja nyata..bukan retorika pandai bicara aja hasil 0,Najwa Shihab
@dhenisrock,Wakil rakyat banyak yang omonganya pinter keren  tapi tukang korupsi....,Najwa Shihab
@EfendiSetiawan-f3q,"@@diawannoto Mari direnungkan jika berbicara track record, lihat dampak dan prestasi dari jabatan yang terakhir di jabat. Anies sebagai Gubernur Jakarta, Prabowo sebagai Mentri Pertahanan dan Ganjar sebagai Gubernur Jateng.",Najwa Shihab
@diawannoto,"@@EfendiSetiawan-f3q justru itu sudah dilakukan, sebagai  warga jakarta saya merasakan jaman foke sampe anies, klo ganjar kebetulan orang tua saya dijawa, jadi cukup tahu. lalu soal menhan juga sudah liat hasilnya ketika menjabat, dari situ dipilih yang saya suka dan sesuai dengan prioritas masalah saya.",Najwa Shihab
@zaa.6958,"​​@@dhenisrockmaaf tapi kita juga butuh pemimpin yang bisa menyampaikan dengan baik, komunikatif dan enggak muter muter kalo ditanya🙏🏻",Najwa Shihab
@jayadi25,Semakin disimak semakin bingung dan menambah kekhawatiran kami sebagai rakyat.🤔,Najwa Shihab
@teguh99aha95,Dimana mbak NANA yang DULU ???,Najwa Shihab
@halimapriza,Lah ini mbak Nana udah nanya apa yang emang dikhawatirkan masyarakat.,Najwa Shihab
@NurdinJoyoKuncoro,"Gajauh beda sama jkw, tapi ini lebih mending karna sudah mau menjawab panjang",Najwa Shihab
@DanishSiera,"Inflasi terkecil biji mata lo meletak, beras 2 thn lalu sm skrg beda 20 ribuan, trs lo gak liat apa kurs idr terparah sepanjang sejarah, sgd gak tuh, rub gak tuh, gak separah idr. Wowo n wiwi gak ada bedanya di manipulasi trs sm org org disekitarnya. Bgs deh biar makin anchorrr neh negara",Najwa Shihab
@mullyadiie3427,Alhamdulillah Indonesia tepat sudah milih pak Prabowo jdi pemimpin Indonesia,Najwa Shihab
@faiqwu9719,ini emang manipulatif atau emg simply versi asli yang biasa diparodiin haji bolot?,Najwa Shihab
@gaaraofthesand007,"""Aku Menyerah.."" (pake nada Squidward)",Najwa Shihab
@alvinlaw-bt2xh,3 jam lebih jurnalis senior buat ayam sayur,Najwa Shihab
@ahmadkuncoro4248,Kenapa tempo tidak di undang 😶‍🌫,Najwa Shihab
@tresnoeverything,semua berawal dari pamanku ketua OSIS,Najwa Shihab
@riskiamanda3799,"Terimakasih Pak Prabowo, saya belajar banyak disini tentang seni menjawab tapi tidak menjawab dan menjawab tapi TMI",Najwa Shihab
@cahyokrisbiyantoro9809,Semoga perputaran Ekonomi segera bangkit,Najwa Shihab
@getclue06,"Lebih seru liat komentar2 dibawah, daripada tontonannya, apresiasi untuk adanya wawancara ini, nextnya wapres di interview juga",Najwa Shihab
@FreePalestineWorld,"Next, Gibran dong.. 😂😂",Najwa Shihab
@hikozel-1,"Gimana komunikasi pemerintah gk buruk, Presiden nya aja gk pernah ngomong lancar",Najwa Shihab
@DJEkiyFvnky,"Terpantau cuma air putih yang ada di atas meja, padahal ini kepala negara loh, beda dengan pejabat pejabat kelas rendah di konoha rapat gada manfaatnya tapi meja rapat penuh dengan kenikmatan surga dunia 😂😂😂😂😂",Najwa Shihab
@L0A0H,"bener pak. orang indo manja, maunya hidup enak tp gk mw berjuang",Najwa Shihab
@milaseptiani4423,yaallah bagian manasihh yg belum kejawab.. padahal udah sejelas itu.. buktikan pakk semangatt🔥,Najwa Shihab
@wongranto,"Pak Prabowo itu cuman omongan diatas doang ,tapi yg dibawah ini sama PK gk beda yg dulu2 ,pupuk masih berbelit2 😭😊",Najwa Shihab
@aleixal-mahmud3640,"Ngomongin soal petani baru kali ini ibu saya takut gabahnya ga laku kejual karena bakul (agen) sulit mengalirkan gabah yg tlah dibeli jadi bakul minim yg nyari gabah, padahal dulu gapernah gini, tiap panen ya jual aja pasti ada aja yg beli gabah ibu😢",Najwa Shihab
@artibalad9372,Lagi pada ngapain sih rame benerrr,Najwa Shihab
@rizioffick5283,Muak pak🙏🏻,Najwa Shihab
@Syaiful_anwar12,Bu uni Lubis sangat mewakili pertanyaan sya tpi jawabannya sangat bikin kecewa,Najwa Shihab
@IndoplanHolidaysBali,Yg 58% mana suaramu?,Najwa Shihab
@suryabayu6869,Keren banget pak jawabanya sangat menjawab,Najwa Shihab
@mamangje4370,Militer sekali,Najwa Shihab
@honja1004,Keknya nih video perlu di subtitle bahasa lain biar orang dari negara lain ngikut judge 😂. Udah conciously deaf ini. Terus terang kasihan sama jurnalis2 nya. Pasti capek luar biasa,Najwa Shihab
@koslap-qq4xf,"Terlalu sering membandingkan kekurangan negara lain dgn kekurangan kinerjanya, tdk akan ada perubahan.",Najwa Shihab
@bangzulmasyumi,omon omon...lipservice,Najwa Shihab
@mrafiriyankurniawan3335,Ngantuk,Najwa Shihab
@DanishSiera,"Ngom apa sih wi, ribet n ngejelimet jwbnya",Najwa Shihab
@amaltheabisyara9395,Ditunggu diskusi bareng wakil presiden nya pak siapa tau bisa cari jawaban dari AI,Najwa Shihab
@yanamuhammadilyas7309,"Mending skrng demo udh bebas, gak kayak dulu yg baru buka suara udah dibungkam kena UU ITE wkwk",Najwa Shihab
@IlhamSyahputra-s1p,"demo di represi aparat, apa yang disebut bebas ?",Najwa Shihab
@fargancivil0942,Indonesia Makin Gelap,Najwa Shihab
@fik_urmizu,WKWKWKWKW,Najwa Shihab
@abdulrochman8565,Prabowo presiden omong doang,Najwa Shihab
@fhmymilanisti2185,kosong ..buang2 kuota,Najwa Shihab
@koslap-qq4xf,Tidak ada yg bisa diharapkan dr macan yg berubah jd gemoy,Najwa Shihab
@adiputraadiputra3606,"Intinya jawaban pak prabowo hanya menyampaikan visi,misi dan ambisinya saja, jika sudah tercapai baru dia manjalankan masukan dari para jurnalis, ini persis seperti leader di tempat kerja saya ketika ada masukan baru di kesampingkan dulu sebelum ambisnya tercapai, tapi jika sudah tercapai baru menyelesaikan masalah yang lain.",Najwa Shihab
@dididarmoko4764,saya lebih setuju RUU PERAMPASAN ASET SEGERA DI SAHKAN.,Najwa Shihab
@masabaru8276,"Mbak Nana tolong undang dan interview KDM krn beliau program, visi dan wawasannya serta cara komunikasinya menarik untuk didengarkan dan diikuti 🙏",Najwa Shihab
@agustawingky1244,ngomong ngalor ngidul gak ada solusi,Najwa Shihab
@norhasnahasna3932,Sekarang masyarakat sudah kurang Percaya lagi pa😢,Najwa Shihab
@maxxdewa,pls apasi ga nyaman nontonnya kameramen geser geser mulu,Najwa Shihab
@Agrotanaman,Emangnya mau pindah kemana kok ada pesan2 terakir...,Najwa Shihab
@riska9449,Sumpah aku kayak kasihan banget sama pak Prabowo 😢,Najwa Shihab
@SANTOMANDRIVER,"Setiap ada presiden baru di asial pastinamerika membuat gebrakan baru otonomi maupun politik,ini bisa saja menguji masyarakat kita sendiri percaya gak sama indonesia",Najwa Shihab
@iswanto19-mg9es,Saya bagi nilai NOL BESAR,Najwa Shihab
@Agrotanaman,Nanya bola ora penting  nglanntur...,Najwa Shihab
@zakimramdani7420,Udah yapping nya?,Najwa Shihab
@syamsularifin7693,"Mana ada pemimpin yang seperti ini 😢😢😢 sehat sehat pak, saya melihat visi misi nya sudah sejalur 😍😍",Najwa Shihab
@ekogow735,"Maaf pak Prabowo, gabah di daearah kami hanya segedagan aja.. Ndak berlanju .. Kembali dibawah harga 6000 per kilo.",Najwa Shihab
@pakwanto3659,Pertanyaan dan jawaban g pernah nyambung,Najwa Shihab
@drs.ngarji1746,❤,Najwa Shihab
@drs.ngarji1746,"Utk....memberantas...dan menghentikan kejahatan Korupsi....adalah.....buat hukuman utk para koruptor,..yg bs bikin EFEK JERA....spt. Hukuman Mati....atau di miskinkan dg UU perampasan  aset.
Contoh.lah...spt.......RRC....negaranya maju ....karena tdk ada korupsi.....dari para pemimpinnya....❤❤",Najwa Shihab
@diskaputriapril,15:09 benar kah data PDB kita diatas vietnam kalo menurut data kita dibawah vietnam kalo liat gmna pola perdagangan vietnam oh jelas orng awam pun paham mengapa begitu. bagaimana suhu ekonomi bisa revisi,Najwa Shihab
@Maribernada2024,Mengenai koruptor ya dimiskin kan sampai akarnya ga ada masalah mau anak mau istri mau kake mau nenek wonh mereka semua pasti nikmatin hasil duitnya,Najwa Shihab
@mundanethings4468,"Saya sedikit meragukan kalau pak prabowo senang membaca, dari gaya komunikasinya tidak tercermin orang yang gemar membaca.",Najwa Shihab
@fabyanottmarzaidan1146,"buzzer youtube mana nih, blom ada suaranya apa blom ada yang gerakin/ di bayar , buat jadi buzer youtube 🫣",Najwa Shihab
@muhammadzhain6906,"Kalo omongannya gak nyambung tolong dimaklumin ya guys, karna faktor U, yang penting kalian beruntung masih waras gak memilih dia 😂",Najwa Shihab
@daripadadihapusdibuangsaya6562,wapresnya gak ikut,Najwa Shihab
@Maribernada2024,Jawabnya gaada bobotnya kemasyarakat sama sekali dari bapa presiden ini malah sedikit sedikit naikin gaji pejabat apalah arti masyarakat kecil diindonesia hang terus diperas pajaknya demi menghidupi pejabat pejabat indonesia pengangguran pun jawaban nya NOL besar maaf pak sekali lagi ternyata saya salah besar memilih bapak🙏,Najwa Shihab
@miftahfaturochman7427,Komennya pada mempertanyakan jawaban pa pres yang normatif dan muter2 dan tdk menjawab ke poinnya. Kalian semua nonton debat pilpres kmarin kan? Apa yang kalian harapkan lebih??,Najwa Shihab
@marsifying,ya makanya naskah aslinya dikeluarin!,Najwa Shihab
@dididarmoko4764,sya lebih sdtuju uang makan bergizi.lebih baik di alokasikan ke unifersitas2 yg biayanya tinggi.seperti unifersitas sains dan tekhnologi.unifersitas dokteran.dll.karena pengen masuk unifersitas tersebut sangatlah mahal.,Najwa Shihab
@LatifulKhoir-h3z,"Merdeka,semoga apa yang kita impikan inginkan angan kan dan kita cita-cita kan tercapai terwujud,amin",Najwa Shihab
@DebbyIrawan-x8q,"JAWABANNYA BELOK SANA BELOK SINI, SEPERTINYA NGA PAHAM APA YANG DITANYAKAN MBA NANA.... DUH BISA NGA SIH PILPRES  DI PERCEPAT, PALING TIDAK TAHUN DEPAN DEH....",Najwa Shihab
@persidangansekrt.dprdmedan7433,"Mbak Retno juga kritis terkait korupsi dan UU Perampasan Asset, tapi jawaban pleciden mengecewakan. Sayangnya Tidak tampak ada niat dan upaya2 konkrit dan luar biasa dari pleciden utk memberantas korupsi",Najwa Shihab
@persidangansekrt.dprdmedan7433,"Padahal inilah pokok permasalahan bangsa ini, korupsi disegala lini, pleciden sebenarnya  harus tegas demi bangsa dan negara ini",Najwa Shihab
@alanyudha426,"Pernah gak sih kalian ngobrol sama nenek atau kakek kalian, obrolannya udah ga relate sama jaman sekarang tpi kita iya2in aja soalnya gaenak pengen hargai orang yg lebih tua.",Najwa Shihab
@marsifying,"masih stuck pikirannya di tahun 50, mana ga mau didebat",Najwa Shihab
@nailulhamdi2337,"Jawaban yang bikin ngantuk,. kosong..",Najwa Shihab
@GeganaPurpala,"Wkwkwk tiap apapun selalu ada nama ""JOKOWI"" Yg disebut,  Seperti punya hutang jasa 😂😂",Najwa Shihab
@marsifying,udah dibrainwash,Najwa Shihab
@KelinciRock,Kasian bgt liatnya,Najwa Shihab
@efulsaeful723,"Bayangin lo naek pesawat tapi pilotnya udah tua dan belom pernah nyupir pesawat sebelumnya, save yourself.",Najwa Shihab
@oreo-uj5hc,Terlihat beberapa anomali buzzer,Najwa Shihab
@sworddigan5032,tapi tadi di dalam video beliau tidak tahu apa itu buzzer ?,Najwa Shihab
@huzaifahzikri3583,"Selalu dukung jokowi, dan meng agung agungkan jokowi, kenapa ya? Seakan akan cuka jokowi yg pernah jadi presiden, apa di setir mulyono ya?",Najwa Shihab
@marsifying,antara dibrainwash atau diblackmail,Najwa Shihab
@marsifying,kayaknya saya tau diblackmail apa,Najwa Shihab
@huzaifahzikri3583,@@marsifying seperti di paksa?,Najwa Shihab
@marsifying,"@@huzaifahzikri3583 iya, jkw punya kartu as prbw, plus jkw mau bntuin asal prbw nurut.. dan kartu asnya kyknya bs ketebak",Najwa Shihab
@ceshoioi2736,"kasih makan siang aja mrasa udah bangga,bisa bantu rakyat miskin,,klo mau bantu kasih makan pagi,siang,sore,buka lapangan kerja,gtu baru bangga",Najwa Shihab
@yunyungfransiska3771,Ngak sekalian aja jdi anaknya aja mba banyak kali mau mu😂😂 permintaan mu itu udah kya anak lgi minta ke ortu sendiri 🤣😂,Najwa Shihab
@israelbessie217,Lu komen bgini seolah2 lu ga ada harga diri,Najwa Shihab
@meong4581,Harusnya sekolah nya juga gratis bukan makan aja 😅,Najwa Shihab
@samsu456,Ngak sekalian dikasih uang bulanan sesuai umr gitu? 😂😂😂😂,Najwa Shihab
@alyanursyfa,Kenapa media TEMPO gak di undang pak?,Najwa Shihab
@imbaharudin7412,Normatif ah!!!,Najwa Shihab
@IlyasIlyasa-n3d,Lebih banyakan bahas narkoba yah daripada bahas pemberantasan korupsinya🤣,Najwa Shihab
@adifashaon7465,RUU jomblo duda janda kapan di sahkan pak???,Najwa Shihab
@DafaKecap,Tua yapping 3 jam ga ada isinya,Najwa Shihab
@ceshoioi2736,"prabowo masih percaya klo demo indonesia gelap katanya dibayar,,padahal itu murni dari keluh kesah rakyat dan mahasiswa,",Najwa Shihab
@erdin28,🤔🙄,Najwa Shihab
@ributbahari973,AYO MBAK NANA DUDUKIN GIBRAN JUGA,Najwa Shihab
@mrrhiuz4659,"harusnya judulnya ""Presiden Prabowo Menjawab(?)""",Najwa Shihab
@yuniyhansurya829,Banyak anak² wabah,Najwa Shihab
@KURAISUSMAN,"Kalaupun memang penghematan itu hanya berlaku untuk perjalanan dinas dan lain sebagainya. Terus kenapa gaji guru honorer malah diperhemat Pak. 
Tentunya sebagai guru merasa dirugikan.",Najwa Shihab
@sasakngejos107,"1:19:41 benar yg di katakan pak presiden, yang kaya menolak yang miskin bersyukur bisa mkn enak",Najwa Shihab
@rulyarfan,Mendengarkan,Najwa Shihab
@Bjontor,Ya lumayan engga murah lah ngejual padi panen ini di harga 590,Najwa Shihab
@humanbeing7113,Presiden Prabowo Menjawab ?,Najwa Shihab
@iswanto19-mg9es,"Orang kalau ngomong biasa gebrak meja,, sampai kapanpun sama ,liat aja presiden ini....",Najwa Shihab
@adsads7054,"banyak komentar gak fair , disini , atas dasar kebencian doang , wkwkwk , buzzer bukan sih , buzzer siapa ya ? hehehe,",Najwa Shihab
@ahmadfaisal8573,Cabai 140 rb perkg pak?,Najwa Shihab
@IlhamSyahputra-s1p,bahan pokok aman terkendali,Najwa Shihab
@marsifying,bruh masih stuck di thn 50-an,Najwa Shihab
@fanifrisdian5143,"Kita harus brantas kuropsi,tapi RUU PERAMPASAN ASET belom di sahkan😂",Najwa Shihab
@nabilaazzalea7096,Kok bisa pada gak ngantuk😵‍💫😵‍💫,Najwa Shihab
@apriyanto5220,Kelas,Najwa Shihab
@muhammadaulia93,Dari semua masalah yang ditanyakan jawabannya tetap MAKAN SIANG GRATIS,Najwa Shihab
@BisnisDigitalUnesa2022B,🤣🤣🤣,Najwa Shihab
@rivandiprananditaputra2860,Oke gas oke gas🎉,Najwa Shihab
@CiciPratiwi-sh6uu,"mon maap ya pak.. kita masyarakat kecil emg bukan jurnalis yg faham betul detik-detik gerak politik di negeri ini.. tapi minimal kita ngerti bahasa Indonesia lah ya.. pertanyaan mba nana ini simpel..


bapak pribadi setuju atau TIDAK UU POLRI INI DIPERLUAS KEWENANGANNYA ATAUUUUUUU... ATAU POLRI SEHARUSNYA MALAH BUTUH PENGAWASAN DAN UU POLRI DI PERKECIL SAJA???? 😒😒😒 yang bapak jawab : saya percaya sistem, kalau tidak puas dgn UU transparan kita buat transparan, saya belum baca UU yang beredar, polisi harus diberi kewenangan yang cukup. 

cukup apaan pakkkk? cukup itu bentuknya kaya mana??? bapak enteng bgt jawab ambigu gitu.. ga jelas makna nya.. udah dipelajari sih tata negara yang bapak pimpin ini????

cukup2 bae... bapak jawab ngasal... saya ragu bapa ngerti apa engga sih..",Najwa Shihab
@Topritelmadura,Terus berjuang presidenku...,Najwa Shihab
@Ardiansyah-nt7nk,Mungkin next harus anak muda yang menjadi presiden yang pikiran nya masih fresh..,Najwa Shihab
@somaardika4206,Mundur aja dri pada negara ini bangkrut,Najwa Shihab
@muhtarwahid8431,Dulu saya pernah kenal om dedy sama mbak nana yang bisa mengefiensi waktu tanya jawab biar gak muter-2 penyampaian... Tapi om dedy kok gak muncul,Najwa Shihab
@SyaifAhmad-t4f,"Utk PK Prabowo ""sebenar apapun tingkahmu, sebaik apapun perilaku hidupmu, kebencian  dari manusia itu pasti ada. Jadi jangan terlalu diambil pusing. terus aja berjalan""  
Gus dur",Najwa Shihab
@dididarmoko4764,saya  lebih setuju.utamakan fakultas2 yg masih kurang di indonesia.seperti vakultas kedokteran yg butuh biaya tinggi.klo bisa di subsidi agar rakyat bawah juga bisa menjadi dokter,Najwa Shihab
@anggiwardani5969,HIDUP JOKOWI!!!,Najwa Shihab
@AraGift-z7p,"NGOMONGIN YANG PENTING ❌
YANG PENTING OMON OMON ✅",Najwa Shihab
@belajarlagi104,"Lihat komenannya mau nonton jadi mals , seperti gk guna cuma ngabisin kuota😊",Najwa Shihab
@wahyubimantoro5610,teori doang. realita lapangan harga pd naek. di tegal aja masa nasgor sebungkus 15 rebu. udah kek di jakarta ae. umk kecil harga makanan pada mahal,Najwa Shihab
@BackupAccIlhamhilal,"gw sebagai anak abah mau ngucapin gws ya buat anak2 abah, gapapa kalo masih sakit hati, kan skrng beliau presidennya, ikhlas aja hehe, alhamdulillah jg gw paham betul semua isi pembicaraan ini dan kalo kalian masih belum paham ya gws aja dah, emang kalian aja yg belum sampe",Najwa Shihab
@BackupAccIlhamhilal,hehe,Najwa Shihab
@BackupAccIlhamhilal,hehe,Najwa Shihab
@BackupAccIlhamhilal,hhh,Najwa Shihab
@BackupAccIlhamhilal,hehehe,Najwa Shihab
@BackupAccIlhamhilal,hahahah,Najwa Shihab
@BackupAccIlhamhilal,wkwkwk,Najwa Shihab
@SaifulBuga-rw7fh,🙏 Bagaimana ttng birokrasi pemerintah kita saat ini mulai tingkat desa smpai pusat..🙏,Najwa Shihab
@taufikkustiawan5888,"Saya yakin, para Pimred ini sangat jenuh mendengarkan opini fiktif.",Najwa Shihab
@nineteezproject3784,"Terkendali NDASMU, coba turun ke pasar kemarin, cabe berapa, bawang, daging.... Alhamdulillah pedagang dan pembeli ngeluh semua",Najwa Shihab
@athafadhilah5230,1:31:00 😂,Najwa Shihab
@agon_agon,"Pas jadi calon presiden kaya macan galak bener, pas udah jadi presiden ternyata hanya macan ompong😹",Najwa Shihab
@adsads7054,"mantab , jawaban spontan dan detail , dari presiden satu2 nya yang ajak dislusi langsung jurnalis , tanpa drama , dengan pertanyaan bebas",Najwa Shihab
@torasadytia7637,"Baru 5 menit pertama ditanya apa pencapaian pemerintah selama 150 hari kerja, dijawab ntah kemana2😢",Najwa Shihab
@eza_mrb270,"Demi allah pak, apa yang di tanya tidak masuk dengan jawab2an bapak yang omon² ini. bapak itu ketum partai dan presiden RI. harus nya jangan takut tekanan politik para kloasi bapak, . Sehingga omongan sesuai dengan tindakan bapak yth. nyata nya masih omon² pak.",Najwa Shihab
@Mado-fc9mg,Saya sebagai anak Abah merasa jawaban ini sangat tidak berguna,Najwa Shihab
